User,Date,Comment
SM,2026-02-28T00:46:09.000Z,"Everything was quick and easy, something I didn’t understand about coverage and Jalol explained everything efficiently. Provided me with a roomier car."
Amanda Portillo,2026-02-27T04:45:06.000Z,Booked through Priceline and the final cost was much higher due to multiple add-ons that were not clearly explained at pickup. I declined insurance but was still charged because I didn’t provide a declarations page — something that wasn’t communicated at the counter.It was impossible to get a clear combined breakdown of what I prepaid vs. what ACE charged. Make sure you review every line before signing.
JaeDanae,2026-02-26T17:58:11.000Z,"They don’t contact you with any information after your booking then at the last minute inform you of policies you need to get the car. When you can’t meet the criteria because they did not inform you before hand, they won’t give you the car and then won’t refund your money. I’ll never use them again. Very scammy and complete waste of my time and money. Go with someone more reputable"
LN,2026-02-24T23:34:28.000Z,"Was charged for a tiny chip in the low black corner windshield  section of our Kia soul rental. Pretty sure this was preexisting as we were cleared initially  and then Marco took out his flashlight after we walked away and starts yelling at us to come back. The tiny chip was very hard to see unless you shined a flashlight directly on it… those rental lots are very dark - probably  on purpose. We drove the car less than 100 miles. Ace is charging our Insurance over $2000 to fix. And will not provide us a final repair invoice or proof it was even repaired. Probably not repairing it and going to pull the same scam. They also have you sign the sheet to mark down nicks as you are leaving and just say “sign here” . We didn’t realize it was the sheet to mark down nicks,etc…  until it was too late. This is so completely scammy if you ask me…do not rent from ACE ever…."
-Minute man-,2026-02-24T19:36:17.000Z,"Location: Wrocław airport.Total scam. When I returned the car, they said everything was fine and I’d get my refund the next day. I called several times and they kept promising the money was coming. Then, out of nowhere, they messaged me claiming I damaged the car and demanding over €1,000! Unbelievable and dishonest. Avoid them at all costs."
Norbert Doerr,2026-02-23T23:47:50.000Z,"DONT BOOK WITH ACE RENT A CAR!!! SCAM ALERT!!!They scam their customers by forcing them to buy additional insurance they don’t need. First of all there is a shortage of rental cars on Maui. So I already paid a fortune to rent a car. Mine was $ 787.00 for a compact, 5 days. And on top of it they added „Collision“ for $ 167.00 so the my grand total was $ 954.00.So here is the story. When I arrived there was nobody behind the counter and I was told to check in with a “virtual agent”. I walked over to the screen and talked to an agent via live chat – Wow, what an experience. He asked me if I have coverage for rental cars with my insurance. I said yes and he demanded that I have to show proof. I took a screenshot of my ID car where it shows: Damage to rental cars is covered. So now he is demanding proof, that I have “Collision” on my policy. I am getting excited, stopped the conversation and called Progressive. I talked to an agent and they send me a copy of verification of my policy. BTW Progressive was absolutely helpful in this situation, I give them 5 stars. However, in the meanwhile a real person (Ms. Ann Purity) was available behind the counter and I showed her the document on my phone. She insisted that I need to have “Collision”. I never had an argument like that when I picked up a rental car, so I asked her, why do I need this coverage when my insurance covers rental cars? So she is getting upset and aggressive with me, tells me that I don´t get the car when I have no coverage for “Collision” on my policy. With other words, she is threatening me - if I don´t buy the extra insurance - I don´t get my car. It was a very bad experience dealing with this agent because she used the leverage, no insurance no car. So what can I do? Nothing, because I need a car for my vacation. So I paid for this ridiculous scam $ 167.00. And what did I get? An old damaged and dirty Nissan Sentra.                Yes, they had one of the lowest prices online and that’s how they lure you in. And screw their customers while they have no alternative. This situation was extremely frustrating, especially when you on vacation. So do yourself a favor and go to a rental car agency with a good reputation."
LP,2026-02-21T20:59:00.000Z,"Fast and nice service, brand new car rented for 8 days. Quick and trouble-free return, deposit unlocked within a few hours. ACE Wroclaw - I recommend"
NA,2026-02-17T23:00:10.000Z,"Was given a price on rental car through price line. Went to the agent and he said, "" you can't rent a car, snow storm in the forecast. Colorado law requires chains and you will get fined for not having chains. You must upgrade to a SUV. "". He pointed to a big sign on the wall. Then it was the insurance.. ""you have to have insurance"". I asked wasn't that in our original price? "" No you have to pay more coverage , what you paid isn't enough""... I just bit my tongue, initialed all the agreements, put in my credit card and silently seethed my way out to the vehicle."
,2026-02-16T21:01:20.000Z,"DO NOT RENT FROM THIS COMPANY. This is not just a case of poor service; it is a systematic scam designed to drain your bank account through fraudulent damage claims and a confusing web of shell companies.The Scheme:1. Identity Confusion: We booked through ACE, but upon arrival, the office operated under a completely different name.2. The ""Ghost"" Charge: A third, unrelated company handles the security deposit. They reserve a large sum 5600 PLN about 1500 EUR, which is then automatically deducted without your consent.3. Fake Damage Reports: Shortly after returning the car, a fourth company sends a fabricated damage report, referencing an obscure insurance provider to give the scam a veneer of legitimacy.4. Zero Accountability: Once they have your money, their customer service goes completely silent. They do not answer emails, calls, or disputes.Final Verdict:They rely on the complexity of multiple company names to make it impossible for you to track down who is responsible. It is a calculated trap. Save yourself the stress and the money—book with a reputable, transparent agency instead."
Jeinson Santana,2026-02-16T15:28:43.000Z,Great customer service
AK,2026-02-12T16:07:04.000Z,SCAM!!! THEY DON'T RETURN THE DEPOSIT
